lab,th_in,r_in,w
4,2,1,3199.31
2,15,29,3180.51
3,11,21,3179.7
3,12,27,3175.81
3,7,36,3161.4
3,5,23,3159.42
1,22,33,3158.87
3,7,14,3145.65
3,6,24,3138.4
2,15,41,3126.24
3,9,14,3122
5,35,41,3109.86
3,6,30,3095.9
5,33,40,3083.99
3,8,13,3071.76
3,6,34,3060.4
3,6,16,3055.04
3,12,30,3051.46
3,15,28,3036.97
5,34,41,3001.3
2,19,36,2976.39
4,31,2,2970.07
3,6,31,2968.25
3,8,37,2967.62
3,7,35,2951.56
2,17,28,2945.21
1,27,37,2930.41
3,14,31,2925.44
1,16,1,2916.75
2,17,30,2904.88
3,5,35,2897.12
1,21,34,2895.35
3,5,18,2846.34
3,12,26,2832.51
1,20,35,2818.19
3,6,17,2816.61
3,13,28,2802.05
1,22,2,2796.63
3,6,18,2792.93
3,7,26,2788.26
3,6,23,2783.13
1,28,41,2780.14
3,5,19,2776.41
1,26,35,2773.01
4,30,2,2770.95
4,6,37,2770.05
3,14,32,2768.02
3,5,22,2747.48
3,4,33,2740.32
3,12,31,2726.39
3,14,30,2701.72
1,24,33,2695.67
3,12,25,2692.1
2,17,29,2691.24
3,5,20,2680.03
3,4,34,2676.14
3,11,32,2666.47
1,23,2,2665.19
1,27,2,2664.66
1,26,2,2657.55
3,7,25,2644.37
4,29,2,2626.28
3,8,38,2625.55
3,5,21,2625.45
2,14,36,2623.31
3,7,27,2611.58
3,7,15,2610.37
1,25,2,2609.14
3,6,22,2605.42
4,1,1,2602.94
1,17,1,2594.23
3,6,19,2588.17
3,8,14,2586.08
3,13,29,2574.2
3,10,30,2570.57
3,9,15,2568.28
3,11,31,2562.38
3,6,32,2560.36
1,24,2,2553.61
1,28,2,2547.52
1,23,33,2543.99
3,7,39,2542.86
3,7,24,2523.4
3,8,39,2515.25
3,10,19,2511.78
3,9,37,2510.44
3,14,25,2510.22
3,13,30,2508.16
3,14,29,2507.08
3,6,20,2501.42
3,12,24,2493.53
3,6,21,2482.98
3,11,29,2481.07
3,11,30,2477.29
3,14,33,2472.32
3,11,28,2455.49
3,10,31,2451.27
3,14,26,2438.28
3,10,32,2434.9
2,12,42,2431.92
3,10,26,2419.32
1,25,34,2417.06
3,12,23,2410.16
1,30,43,2395.6
3,10,33,2391.45
3,14,34,2390.75
1,22,34,2384.98
3,11,33,2384.43
2,14,35,2375.97
2,27,38,2371.98
3,10,29,2371.54
2,12,40,2360.93
1,18,1,2353.26
2,13,38,2343.64
3,15,27,2340.16
3,8,34,2339.23
3,7,33,2302.76
3,7,28,2298.53
3,9,36,2292.84
3,10,25,2289.29
1,21,35,2280.08
3,10,27,2279.08
3,13,33,2274.53
3,12,32,2269.4
3,13,31,2269.16
3,9,35,2257.57
2,17,39,2253.72
3,9,17,2238.86
3,8,15,2237.61
3,9,31,2232.07
2,14,42,2229.65
3,7,23,2222.31
3,14,28,2219.67
3,11,27,2219.62
3,7,16,2218.59
5,36,42,2201.58
3,11,26,2200.06
2,18,38,2198.15
3,8,23,2195.46
1,19,1,2194.48
3,7,29,2194.28
1,26,36,2192.76
